,project_id,state,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,funded_locations,funded_cai,dominant_technology,avg_download_speed,avg_upload_speed,state_num_providers
1213,CM61-BEAD-WA-26-96212-382,WA,9536.0,0.0,0.0,0.0,L,False,12,0,61.0,150.0,20.0,15
1214,CM61-BEAD-WA-26-96212-002,WA,1521.0,0.0,0.0,0.0,L,False,1,0,61.0,100.0,20.0,15
1215,CM61-BEAD-WA-26-96212-006,WA,1378125.0,342.0,86.0,0.0,L,True,147,0,50.0,626.530612244898,593.3333333333334,15
1216,CM61-BEAD-WA-26-96212-383,WA,2400.0,0.0,0.0,0.0,L,False,4,0,61.0,150.0,20.0,15
1217,CM61-BEAD-WA-26-96212-051,WA,2215978.0,0.0,0.0,0.0,L,True,756,2,71.0,297.3544973544975,77.31481481481478,15
1218,CM61-BEAD-WA-26-96212-384,WA,7995.0,0.0,0.0,0.0,L,False,5,0,61.0,100.0,20.0,15
1219,CM61-BEAD-WA-26-96212-052,WA,1180563.0,0.0,1.0,0.0,L,True,195,2,70.0,367.1794871794871,99.48717948717947,15
1220,CM61-BEAD-WA-26-96212-385,WA,18439.0,0.0,0.0,0.0,L,False,12,0,61.0,100.0,20.0,15
1221,CM61-BEAD-WA-26-96212-053,WA,2169795.0,0.0,0.0,0.0,L,True,785,0,70.0,303.6942675159235,75.92356687898088,15
1222,CM61-BEAD-WA-26-96212-178,WA,3000.0,0.0,0.0,0.0,L,False,5,0,61.0,150.0,20.0,15
1223,CM61-BEAD-WA-26-96212-007,WA,3253125.0,112.0,28.0,0.0,L,True,347,0,50.0,893.659942363112,884.2074927953893,15
1224,CM61-BEAD-WA-26-96212-179,WA,35153.0,0.0,0.0,0.0,L,False,23,0,61.0,100.0,20.0,15
1225,CM61-BEAD-WA-26-96212-008,WA,3799928.0,134.0,33.0,0.0,L,True,588,0,71.0,297.4489795918366,235.00000000000014,15
1226,CM61-BEAD-WA-26-96212-180,WA,1200.0,0.0,0.0,0.0,L,False,2,0,61.0,150.0,20.0,15
