,project_id,state_x,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,n_loc_only,n_cai_only,n_both,n_total,frac_competitor_qualifying,frac_competitor_qualifying_any,frac_present_at_location,frac_present_at_location_qualifying,frac_fiber_comp,frac_cable_comp,frac_fw_comp,frac_wired_qualifying,funded_locations,technology,state_y,prov_coverage,provider_id,frn,n_blocks,n_locs,frac_tech_40,frac_tech_50,frac_tech_61,frac_tech_71,geo_n,n_counties,rucc_code_wmean,topography_z_wmean,RRS_wmean,poverty_rate_wmean,POPDEN_RUR_wmean,POPDEN_COU_wmean,no_prior_presence_frac,n_locations,nearest_mi_served_same_isp,nearest_mi_served_any,total_fiber_miles,pct_aerial,miles_per_location,pct_cai,jobs_per_location,has_incumbent,funding_per_location,log_funding
27,CM61-BEAD-RI-NAR001,RI,4893033.0,23.0,6.0,43.0,L,True,563,0,0,563,0.4795737122557726,1.0,0.0,0.0,0.03374777975133215,0.45293072824156305,0.8579040852575487,0.46003552397868563,563,50.0,RI,0.0,,,121.0,563,0.0,1.0,0.0,0.0,3112,1.0,1.0,0.01867,1.2758620689655173,0.0818749294320693,168.315941436266,394.3157525974439,1.0,563,,,29.0,0.7931034482758621,0.05150976909413854,0.0,0.0763765541740675,0,8691.0,9.07015834137632
28,CM61-BEAD-RI-RVH001,RI,254903.0,2.0,0.0,13.0,L,True,23,0,0,23,0.0,1.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.0,23,50.0,RI,0.0,,,14.0,23,0.0,1.0,0.0,0.0,104,1.0,1.0,0.01867,1.2758620689655173,0.0818749294320693,168.315941436266,394.315752597444,1.0,23,,,2.0,1.0,0.08695652173913043,0.0,0.5652173913043478,0,11082.739130434782,9.313234370017952
29,CM61-BEAD-RI-NAI001,RI,3000.0,0.0,0.0,0.0,L,False,2,0,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,2,61.0,RI,100.0,430076.0,0026043968,1.0,2,0.0,0.0,1.0,0.0,9,1.0,1.0,0.01867,1.2758620689655173,0.0818749294320693,168.315941436266,394.315752597444,1.0,2,,,0.0,0.0,0.0,0.0,0.0,1,1500.0,7.313886831633462
30,CM61-BEAD-OR-85090,OR,15199456.22,31.0,3.0,20.0,L,True,924,0,0,924,0.21103896103896105,1.0,0.0,0.0,0.15800865800865802,0.006493506493506494,0.7694805194805193,0.16341991341991347,924,50.0,OR,0.0,,,99.0,924,0.0,1.0,0.0,0.0,5937,1.0,7.0,1.23201,3.5,0.11625130002696353,3.9065414612402996,11.2005988800965,1.0,924,,,34.0,0.9117647058823529,0.0367965367965368,0.0,0.021645021645021644,0,16449.627943722946,9.708118928335649
31,CM61-BEAD-OR-85176,OR,141292.75,0.0,3.0,1.0,L,True,20,0,0,20,0.0,1.0,1.0,0.45,0.0,0.0,0.44999999999999996,0.0,20,50.0,OR,100.0,131123.0,0002801256,5.0,20,0.0,1.0,0.0,0.0,118,1.0,6.0,1.08035,1.25,0.1756909592139676,1.88104956799502,3.1929715313827702,0.15,20,0.09139934991182742,0.09139934991182742,3.0,0.0,0.15,0.0,0.05,1,7064.6375,8.862998524593474
32,CM61-BEAD-OR-85285,OR,3896583.6,35.0,4.0,20.0,L,True,420,0,0,420,0.6238095238095237,1.0,0.045238095238095244,0.0,0.14285714285714285,0.0,0.8880952380952382,0.14285714285714285,420,50.0,OR,8.234169939527082,420173.0,0001583244,52.0,420,0.0,1.0,0.0,0.0,2544,1.0,1.0,1.68702,1.7894736842105263,0.10250717443574031,41.3094932031814,150.462857673655,0.0,420,1.7498941729743471,0.07085521989683088,39.0,0.8974358974358975,0.09285714285714286,0.0,0.047619047619047616,1,9277.58,9.135463796830534
33,CM61-BEAD-OR-85293,OR,5179617.95,9.0,30.0,2.0,L,True,2015,0,0,2015,0.5002481389578164,1.0,0.8808933002481388,0.8009925558312656,0.008436724565756828,0.0,0.9945409429280395,0.008436724565756828,2015,50.0,OR,88.11699679991258,220079.0,0028886216,153.0,2015,0.0,1.0,0.0,0.0,16922,1.0,4.0,1.08035,1.8333333333333333,0.11782770749120688,7.9762380127458306,24.9033538551468,0.0,2015,0.15048741331711973,0.02904370746510926,39.0,0.23076923076923078,0.01935483870967742,0.0,0.0009925558312655087,1,2570.53,7.852256331489522
34,CM61-BEAD-OR-85294,OR,272037.92,2.0,1.0,2.0,L,True,176,0,0,176,0.7897727272727273,1.0,1.0,1.0,0.0,0.0,1.0,0.0,176,50.0,OR,100.0,220079.0,0028886216,11.0,176,0.0,1.0,0.0,0.0,1526,1.0,6.0,1.23201,3.6666666666666665,0.0801415750221211,24.0437514652625,45.9255179672877,0.0,176,0.0,0.0,3.0,0.6666666666666666,0.017045454545454544,0.0,0.011363636363636364,1,1545.6699999999998,7.3438595117222825
35,CM61-BEAD-OR-85368,OR,730427.25,0.0,0.0,0.0,L,True,525,1,0,526,0.7314285714285714,1.0,0.7676190476190475,0.19238095238095237,0.0057142857142857125,0.0,0.9904761904761905,0.0057142857142857125,525,71.0,OR,77.5360595837715,270011.0,0009633983,85.0,525,0.0,0.0,0.0,1.0,4615,3.0,2.782015167930661,1.835558071505959,1.7952312231552894,0.1360510591808917,18.81334550406819,64.01015187512131,0.0,526,1.5670859245126274,0.09909346767126741,0.0,0.0,0.0,0.0019011406844106464,0.0,1,1391.29,7.238705152529323
36,CM61-BEAD-OR-85390,OR,9682722.88,68.0,11.0,0.0,L,True,872,0,0,872,0.12500000000000003,1.0,0.7740825688073394,0.47018348623853207,0.0,0.0045871559633027525,0.7133027522935779,0.0045871559633027525,872,50.0,OR,81.01662529033322,350019.0,0016162216,174.0,872,0.0,1.0,0.0,0.0,6162,1.0,3.0,1.8386800000000003,1.7142857142857142,0.12983265119805648,19.5075084145534,56.1796360933668,0.0,872,0.48227303770440594,0.17187426511438111,79.0,0.8607594936708861,0.09059633027522936,0.0,0.0,1,11104.04,9.315154338303131
